UID,Latitude,Longitude,Name,City,St,Zip,Cat,Elev,Comments,Pin,Height
102534,34.97582,-110.5255,Low Clearance,Winslow,AZ,86047,LC14,,14 - 0 height clearance,low_14_0_pushpin,
103622,34.105489,-118.80948000000001,Low Clearance,Agoura Hills,CA,91301,LC14,,14 - 0 height clearance,low_14_0_pushpin,
103644,40.4406,-122.29964,Low Clearance,Anderson,CA,96007,LC11,,11 - 6 height clearance (136),low_11_6_pushpin,
103665,35.50098,-120.66242,Low Clearance,Atascadero,CA,93422,LC13,,13 - 2 height clearance (136),low_13_2_pushpin,
103672,38.90384,-121.0662,Low Clearance,Auburn,CA,95603,LC13,,13 - 7 height clearance,low_13_7_pushpin,
103673,38.92083,-121.0928,Low Clearance,Auburn,CA,95603,LC11,,11 - 3 height clearance (136),low_11_3_pushpin,
103773,37.84908,-122.29563,Low Clearance,Berkeley,CA,94710,LC15,,15 - 1 height clearance,low_15_1_pushpin,
103822,34.172304,-118.301973,Low Clearance,Burbank,CA,91502,LC14,,14 - 6 height clearance,low_14_6_pushpin,
103844,35.28751,-118.62700000000001,Low Clearance,Caliente,CA,93518,LC13,,13 - 11 height clearance,low_13_11_pushpin,
103855,37.292809999999996,-121.93749,Low Clearance,Campbell,CA,95008,LC15,,15 - 2 height clearance,low_15_2_pushpin,
103856,37.29453,-121.93861000000001,Low Clearance,Campbell,CA,95008,LC15,,15 - 1 height clearance,low_15_1_pushpin,
103920,34.204127,-117.676776,Low Clearance,Claremont,CA,91711,LC12,,12 - 0 height clearance (136),low_12_0_pushpin,
103950,34.00991,-118.15852,Low Clearance,Commerce,CA,90040,LC15,,15 - 0 height clearance,low_15_0_pushpin,
103956,37.964220000000005,-122.0308,Low Clearance,Concord,CA,94518,LC14,,14 - 4 height clearance,low_14_4_pushpin,
103998,38.29233,-121.63058000000001,Low Clearance,Courtland,CA,95615,LC13,,13 - 0 height clearance (136),low_13_0_pushpin,
104014,38.54139,-121.73958999999999,Low Clearance,Davis,CA,95616,LC13,,13 - 6 height clearance,low_13_6_pushpin,
104075,34.06123,-118.0126,Low Clearance,El Monte,CA,91732,LC15,,15 - 0 height clearance,low_15_0_pushpin,
104076,34.0633,-118.01562,Low Clearance,El Monte,CA,91732,LC13,,13 - 10 height clearance,low_13_10_pushpin,
104193,37.48768,-121.93189,Low Clearance,Fremont,CA,94536,LC15,,15 - 0 height clearance,low_15_0_pushpin,
104194,37.55969,-121.95565,Low Clearance,Fremont,CA,94536,LC14,,14 - 0 height clearance,low_14_0_pushpin,
104195,37.55985,-121.95566000000001,Low Clearance,Fremont,CA,94536,LC15,,15 - 0 height clearance,low_15_0_pushpin,
104217,36.734389,-119.79434499999999,Low Clearance,Fresno,CA,93706,LC13,,13 - 9 height clearance,low_13_9_pushpin,
104218,36.77766,-119.8011,Low Clearance,Fresno,CA,93706,LC13,,13 - 0 height clearance (136),low_13_0_pushpin,
104219,36.781490000000005,-119.80411000000001,Low Clearance,Fresno,CA,93706,LC13,,13 - 6 height clearance,low_13_6_pushpin,
104275,34.12696,-118.26177,Low Clearance,Glendale,CA,91204,LC14,,14 - 9 height clearance,low_14_9_pushpin,
104317,38.57312,-122.8401,Low Clearance,Healdsburg,CA,95448,LC13,,13 - 8 height clearance,low_13_8_pushpin,
104334,34.10099,-117.10583000000001,Low Clearance,Highland,CA,92346,LC11,,11 - 6 height clearance (136),low_11_6_pushpin,
104412,33.63216,-117.69972,Low Clearance,Lake Forest,CA,92630,LC7,,7 - 5 height clearance (136),low_7_5_pushpin,
104519,34.05635,-118.25281000000001,Low Clearance,Los Angeles,CA,90012,LC12,,12 - 9 height clearance (136),low_12_9_pushpin,
104520,34.06735,-118.2393,Low Clearance,Los Angeles,CA,90012,LC13,,13 - 0 height clearance (136),low_13_0_pushpin,
104521,34.0775,-118.19398000000001,Low Clearance,Los Angeles,CA,90012,LC12,,12 - 3 height clearance (136),low_12_3_pushpin,
104522,34.07792,-118.26057,Low Clearance,Los Angeles,CA,90012,LC14,,14 - 0 height clearance,low_14_0_pushpin,
104523,34.07885,-118.193,Low Clearance,Los Angeles,CA,90012,LC13,,13 - 10 height clearance,low_13_10_pushpin,
104524,34.123673,-118.30078200000001,Low Clearance,Los Angeles,CA,90012,LC14,,14 - 0 height clearance,low_14_0_pushpin,
104525,34.1288,-118.48038000000001,Low Clearance,Los Angeles,CA,90012,LC13,,13 - 6 height clearance,low_13_6_pushpin,
104526,,,Low Clearance,Los Angeles,CA,90023,LC13,,13 - 5 height clearance (136),low_13_5_pushpin,
104578,38.0052,-122.10203,Low Clearance,Martinez,CA,94553,LC13,,13 - 6 height clearance,low_13_6_pushpin,
104580,39.13739,-121.58403999999999,Low Clearance,Marysville,CA,95901,LC14,,14 - 0 height clearance in center with 13 - 10 on the sides,low_14_0_pushpin,
104581,39.138490000000004,-121.58422,Low Clearance,Marysville,CA,95901,LC11,,11 - 7 height clearance (136),low_11_7_pushpin,
104582,39.13955,-121.59953999999999,Low Clearance,Marysville,CA,95901,LC14,,14 - 6 height clearance,low_14_6_pushpin,
104583,39.1396,-121.58436999999999,Low Clearance,Marysville,CA,95901,LC10,,10 - 0 height clearance (136),low_10_0_pushpin,
104584,39.1498,-121.59773,Low Clearance,Marysville,CA,95901,LC13,,13 - 5 height clearance (136),low_13_5_pushpin,
104752,33.17347,-117.36513000000001,Low Clearance,Oceanside,CA,92054,LC13,,13 - 0 height clearance (136),low_13_0_pushpin,
104770,34.06023,-117.65105,Low Clearance,Ontario,CA,91762,LC14,,14 - 7 height clearance,low_14_7_pushpin,
104771,34.061448999999996,-117.65091000000001,Low Clearance,Ontario,CA,91762,LC14,,14 - 10 height clearance,low_14_10_pushpin,
104790,34.608955,-117.34161399999999,Low Clearance,Oro Grande,CA,92368,LC13,,13 - 11 height clearance,low_13_11_pushpin,
104794,39.50939,-121.55553,Low Clearance,Oroville,CA,95966,LC13,,13 - 4 height clearance (136),low_13_4_pushpin,
104795,39.51116,-121.55391000000002,Low Clearance,Oroville,CA,95966,LC13,,13 - 4 height clearance (136),low_13_4_pushpin,
104817,37.442859999999996,-122.16453,Low Clearance,Palo Alto,CA,94301,LC14,,14 - 3 height clearance,low_14_3_pushpin,
104832,35.617754999999995,-120.68805800000001,Low Clearance,Paso Robles,CA,93446,LC10,,10 - 8 height clearance (136),low_10_8_pushpin,
104856,40.243997,-124.12291599999999,Low Clearance,Petrolia,CA,95558,LC13,,13 - 11 height clearance,low_13_11_pushpin,
104866,38.00816,-122.29276000000002,Low Clearance,Pinole,CA,94564,LC13,,13 - 6 height clearance,low_13_6_pushpin,
