,Longitude,Latitude,State,Roadway,Direction,Name,Mile Marker,Restrooms,Restrooms(Vault Toilet),Restrooms(Portapotties),Picnic Tables,Vending Machines,Pet Walking Area,Handicapped Facilities,RV Dump,Restaurant,Gas,Scenic View
121,-116.66091200000001,33.92237,CA,I-10,WB,WHITEWATER REST AREA, MM113,True,False,False,True,False,True,True,False,False,False,False
122,-116.66700700000001,33.922266,CA,I-10,EB,WHITEWATER REST AREA, MM113,True,False,False,True,False,True,True,False,False,False,False
123,-115.969275,33.679013,CA,I-10,EB,CACTUS CITY REST AREA, MM159,True,False,False,True,False,True,True,False,False,False,False
124,-115.959131,33.677838,CA,I-10,WB,CACTUS CITY REST AREA, MM159,True,False,False,True,False,True,True,False,False,False,False
125,-114.905177,33.607482,CA,I-10,EB,WILEY'S WELL REST AREA FOLLOW SIGNS, MM222,True,False,False,True,False,True,True,False,False,False,False
126,-114.89755500000001,33.608233,CA,I-10,WB,WILEY'S WELL REST AREA FOLLOW SIGNS, MM222,True,False,False,True,False,True,True,False,False,False,False
127,-117.085633,34.850381,CA,I-15,NB,BARSTOW TANGER OUTLETS WELCOME CENTER FOLLOW SIGNS, MM178,True,False,False,False,False,False,True,False,False,False,False
128,-117.08416000000001,34.857495,CA,I-15,SB,BARSTOW TANGER OUTLETS WELCOME CENTER FOLLOW SIGNS, MM178,True,False,False,False,False,False,True,False,False,False,False
129,-116.47401599999999,35.031282,CA,I-15,NB,CLOSED FOR CONSTRUCTION CLYDE V KANE REST AREA, MM216,True,False,False,True,False,True,True,False,False,False,False
130,-116.46654699999999,35.035789,CA,I-15,SB,CLOSED FOR CONSTRUCTION CLYDE V KANE REST AREA, MM216,True,False,False,True,False,True,True,False,False,False,False
131,-115.703298,35.433569,CA,I-15,NB,VALLEY WELLS REST AREA, MM272,True,False,False,True,True,True,True,False,False,False,False
132,-115.69834399999999,35.435844,CA,I-15,SB,VALLEY WELLS REST AREA, MM272,True,False,False,True,True,True,True,False,False,False,False
133,-122.363505,37.537109,CA,I-280,NB,CRYSTAL SPRINGS REST AREA, MM29,True,False,False,True,True,True,True,False,False,False,False
134,-116.52895600000001,34.801521,CA,I-40,EB,DESERT OASIS REST AREA, MM28,True,False,False,True,False,True,True,False,False,False,False
135,-116.51751100000001,34.799975,CA,I-40,WB,DESERT OASIS REST AREA, MM28,True,False,False,True,False,True,True,False,False,False,False
136,-115.22268100000001,34.808704,CA,I-40,EB,CLOSED NO ETO JOHN WILKIE REST AREA, MM106,True,False,False,True,False,True,True,False,False,False,False
137,-115.21616599999999,34.810022,CA,I-40,WB,CLOSED NO ETO JOHN WILKIE REST AREA, MM106,True,False,False,True,False,True,True,False,False,False,False
138,-122.28246899999999,40.424593,CA,I-5,NB,ANDERSON WELCOME CENTER FOLLOW SIGNS SHASTA OUTLETS, MM667,True,False,False,False,False,False,True,False,False,False,False
139,-122.288008,40.440391999999996,CA,I-5,SB,ANDERSON WELCOME CENTER FOLLOW SIGNS SHASTA OUTLETS, MM667,True,False,False,False,False,False,True,False,False,False,False
140,-118.00201499999999,33.868155,CA,I-5,SB,BUENA PARK WELCOME CENTER CARS ONLY FOLLOW SIGNS, MM116,True,False,False,False,False,False,True,False,False,False,False
141,-117.99853700000001,33.866884000000006,CA,I-5,NB,BUENA PARK WELCOME CENTER CARS ONLY FOLLOW SIGNS, MM116,True,False,False,False,False,False,True,False,False,False,False
142,-122.31568500000002,40.792327,CA,I-5,NB,O'BRIEN REST AREA, MM694,True,False,False,True,False,True,True,False,False,False,False
143,-122.182217,39.244784,CA,I-5,SB,MAXWELL REST AREA, MM584,True,False,False,True,False,True,True,False,False,False,False
144,-122.18156499999999,39.237544,CA,I-5,NB,CLOSED NO ETO MAXWELL REST AREA, MM584,True,False,False,True,False,True,True,False,False,False,False
145,-121.615471,38.672761,CA,I-5,SB,ELKHORN REST AREA, MM537,True,False,False,True,False,False,True,False,False,False,False
146,-119.427241,35.420374,CA,I-5,SB,CLOSED FOR MAINTENANCE NO ETO BUTTONWILLOW REST AREA, MM259,True,False,False,True,True,True,True,False,False,False,False
147,-119.419671,35.415437,CA,I-5,NB,CLOSED FOR MAINTENANCE NO ETO BUTTONWILLOW REST AREA, MM259,True,False,False,True,True,True,True,False,False,False,False
148,-122.209355,39.596027,CA,I-5,SB,WILLOWS REST AREA, MM608,True,False,False,True,False,True,True,True,False,False,False
149,-122.20925,39.589438,CA,I-5,NB,WILLOWS REST AREA, MM608,True,False,False,True,False,True,True,True,False,False,False
150,-122.20004399999999,39.94307,CA,I-5,NB,LT JOHN C HELMICK REST AREA, MM632,True,False,False,True,False,True,True,False,False,False,False
151,-122.200473,39.950839,CA,I-5,SB,LT JOHN C HELMICK REST AREA, MM632,True,False,False,True,False,True,True,False,False,False,False
152,-121.32621699999999,37.584761,CA,I-5,SB,WESTLEY REST AREA, MM445,True,False,False,True,True,True,True,True,False,False,False
153,-121.320371,37.581034,CA,I-5,NB,WESTLEY REST AREA, MM445,True,False,False,True,True,True,True,True,False,False,False
154,-118.86873100000001,34.830621,CA,I-5,SB,TEJON PASS REST AREA, MM207,True,False,False,True,True,True,True,True,False,False,False
155,-118.87361399999999,34.825196999999996,CA,I-5,NB,TEJON PASS REST AREA, MM207,True,False,False,True,True,True,True,True,False,False,False
156,-117.445031,33.275376,CA,I-5,SB,ALISO CREEK REST AREA, MM60,True,False,False,True,True,True,True,True,False,False,False
157,-117.43304599999999,33.265842,CA,I-5,NB,ALISO CREEK REST AREA, MM60,True,False,False,True,True,True,True,True,False,False,False
158,-122.569776,41.859532,CA,I-5,SB,RANDOLPH E COLLIER REST AREA-FOLLOW SIGNS, MM786,True,False,False,True,False,True,True,False,False,False,False
159,-122.57063799999999,41.853578999999996,CA,I-5,NB,RANDOLPH E COLLIER REST AREA-FOLLOW SIGNS, MM786,True,False,False,True,False,True,True,False,False,False,False
